Index,Title,Year,Rating,Length (minutes),Rating Amount,Group,Metascore,Short Description,Directors,Stars
1,1. The Shawshank Redemption,1994,9.3,142,3000000,R,82.0,"A banker convicted of uxoricide forms a friendship over a quarter century with a hardened convict, while maintaining his innocence and trying to remain hopeful through simple compassion.",Frank Darabont,"Tim Robbins, Morgan Freeman, Bob Gunton"
2,2. Attack on Titan the Movie: The Last Attack,2024,9.3,145,11000,,,"The fate of the world hangs in the balance as Eren unleashes the ultimate power of the Titans. With a burning determination to eliminate all who threaten Eldia, he leads an unstoppable army of Colossal Titans towards Marley.",Yûichirô Hayashi,"Natsuki Hanae, Yoshimasa Hosoya, Marina Inoue"
3,3. The Godfather,1972,9.2,175,2100000,R,100.0,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.,Francis Ford Coppola,"Marlon Brando, Al Pacino, James Caan"
4,4. Ramayana: The Legend of Prince Rama,1993,9.2,135,16000,PG,,"An anime adaptation of the Hindu epic the Ramayana, where Lord Ram combats the wicked king Ravana.","Ram Mohan, Yûgô Sakô, Koichi Saski","Arun Govil, Nikhil Kapoor, Edie Mirman"
5,5. The Chaos Class,1975,9.2,85,44000,,,"Lazy, uneducated students share a very close bond. They live together in the dormitory, where they plan their latest pranks. When a new headmaster arrives, the students naturally try to overthrow him. A comic war of nitwits follows.",Ertem Egilmez,"Münir Özkul, Tarik Akan, Halit Akçatepe"
6,6. The Dark Knight,2008,9.0,152,3000000,PG-13,84.0,"When a menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman, James Gordon and Harvey Dent must work together to put an end to the madness.",Christopher Nolan,"Christian Bale, Heath Ledger, Aaron Eckhart"
7,7. Schindler's List,1993,9.0,195,1500000,R,95.0,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",Steven Spielberg,"Liam Neeson, Ralph Fiennes, Ben Kingsley"
8,8. The Lord of the Rings: The Return of the King,2003,9.0,201,2100000,PG-13,94.0,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,Peter Jackson,"Elijah Wood, Viggo Mortensen, Ian McKellen"
9,9. 12 Angry Men,1957,9.0,96,907000,Approved,97.0,The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.,Sidney Lumet,"Henry Fonda, Lee J. Cobb, Martin Balsam"
10,10. The Godfather Part II,1974,9.0,202,1400000,R,90.0,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",Francis Ford Coppola,"Al Pacino, Robert De Niro, Robert Duvall"
11,11. The Silence of Swastika,2021,9.0,56,11000,,,"Hitler used a symbol for his political and racial ideology. The world today calls that symbol ""Swastika"", an Indian name to a symbol used by Hindus, Buddhists, and Jains for ages. But was it a Swastika? or Something else?",Anuj Bhardwaj,Suzanne Bernert
12,12. I'm Still Here,2024,8.9,136,13000,PG-13,85.0,A woman married to a former politician during the military dictatorship in Brazil is forced to chart a new path for herself and her children after her family's life is impacted by a violent and arbitrary act.,Walter Salles,"Fernanda Torres, Fernanda Montenegro, Selton Mello"
13,13. The Lord of the Rings: The Fellowship of the Ring,2001,8.9,178,2100000,PG-13,92.0,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,Peter Jackson,"Elijah Wood, Ian McKellen, Orlando Bloom"
14,14. Pulp Fiction,1994,8.9,154,2300000,R,95.0,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",Quentin Tarantino,"John Travolta, Uma Thurman, Samuel L. Jackson"
15,15. O.J.: Made in America,2016,8.9,467,23000,TV-MA,,"A chronicle of the rise and fall of O.J. Simpson, whose high-profile murder trial exposed the extent of American racial tensions, revealing a fractured and divided nation.",Ezra Edelman,"Willie Brown, Harry Edwards, John McKay"
16,16. The Message,1976,8.9,207,11000,PG,,"The story of prophet ""Muhammad"" and the delivery of the message of God ""Allah.""",Moustapha Akkad,"Abdallah Gheith, Mona Wassef, Hamdy Gheith"
17,17. Tosun Pasha,1976,8.9,90,25000,,,"In a battle for the ""Green Valley"", long-standing Turkish rival families Seferoglu and Tellioglu compete. Daver Bey, father of the lovely Leyla, holds the key as both families pursue her hand in marriage.",Kartal Tibet,"Kemal Sunal, Müjde Ar, Adile Nasit"
18,18. Mirror Game,2016,8.9,147,30000,,,"A struggling actor becomes a professional impostor, hired to impersonate people for financial gain, but as he delves deeper into his work he becomes embroiled in trouble that threatens to unravel his life.",Amitabh Reza Chowdhury,"Chanchal Chowdhury, Masuma Rahman Nabila, Partha Barua"
19,19. Inception,2010,8.8,148,2600000,PG-13,74.0,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.",Christopher Nolan,"Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page"
20,20. Fight Club,1999,8.8,139,2400000,R,67.0,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.,David Fincher,"Brad Pitt, Edward Norton, Meat Loaf"
21,21. Forrest Gump,1994,8.8,142,2300000,PG-13,82.0,"The history of the United States from the 1950s to the '70s unfolds from the perspective of an Alabama man with an IQ of 75, who yearns to be reunited with his childhood sweetheart.",Robert Zemeckis,"Tom Hanks, Robin Wright, Gary Sinise"
22,22. The Lord of the Rings: The Two Towers,2002,8.8,179,1800000,PG-13,87.0,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",Peter Jackson,"Elijah Wood, Ian McKellen, Viggo Mortensen"
23,"23. The Good, the Bad and the Ugly",1966,8.8,178,841000,R,90.0,A bounty-hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,Sergio Leone,"Clint Eastwood, Eli Wallach, Lee Van Cleef"
24,24. 12th Fail,2023,8.8,147,141000,,,The real-life story of IPS Officer Manoj Kumar Sharma and IRS Officer Shraddha Joshi.,Vidhu Vinod Chopra,"Vikrant Massey, Medha Shankr, Anant Joshi"
25,25. The Phantom of the Opera at the Royal Albert Hall,2011,8.8,137,10000,Not Rated,,"A disfigured musical genius, hidden away in the Paris Opera House, terrorizes the opera company for the unwitting benefit of a young protégée whom he trains and loves.","Nick Morris, Laurence Connor","Ramin Karimloo, Sierra Boggess, Hadley Fraser"
26,26. Balkan Spy,1984,8.8,95,13000,,,"Convinced that his subtenant is a spy and an enemy of the state, a man falls into deep paranoia which leads to absurd and destructive chain of events.","Dusan Kovacevic, Bozidar 'Bota' Nikolic","Danilo 'Bata' Stojkovic, Bora Todorovic, Mira Banjac"
27,27. #Home,2021,8.8,158,16000,,,"Oliver Twist (Indrans) wants to be tech-savvy and become a better companion to his two sons, who spend more time on their phones than with their loved ones.",Rojin Thomas,"Indrans, Sreenath Bhasi, Manju Pillai"
28,28. Maratonci trce pocasni krug,1982,8.8,92,17000,,,"The Topalovic family has been in the burial business for generations. When the old (150 yrs old) Pantelija dies, five generations of his heirs start to fight for the inheritance.",Slobodan Sijan,"Bogdan Diklic, Danilo 'Bata' Stojkovic, Pavle Vuisic"
29,29. The Chaos Class Failed the Class,1975,8.8,95,25000,,,A young and beautiful female teacher starts working in an all boys high school.,Ertem Egilmez,"Münir Özkul, Tarik Akan, Kemal Sunal"
30,30. The Foster Brothers,1976,8.8,80,22000,,,"Saban, Ramazan and Bayram are sailors in an Ottoman Navy and Hüsamettin is their commander. Hüsamettin's aide Ramazan, Saban who is foster son of Hüsamettin's sister and Bayram who is married to Hüsamettin's niece stays at Hüsamettin's family residence.",Ertem Egilmez,"Kemal Sunal, Sener Sen, Halit Akçatepe"
31,31. Interstellar,2014,8.7,169,2300000,PG-13,74.0,"When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans.",Christopher Nolan,"Matthew McConaughey, Anne Hathaway, Jessica Chastain"
32,32. The Matrix,1999,8.7,136,2100000,R,73.0,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.","Lana Wachowski, Lilly Wachowski","Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss"
