Title,Year,Rating,Length (minutes),Rating Amount,Metascore,Group,Short Description,Directors,Star 1,Star 2,Star 3
Journey to the Unknown,1994,8.2,153,1452246,35,PG-13,A young hero embarks on a journey to save the world.,Riley Lane,Mark Wahlberg,,
The Silent City,1982,7.9,115,2201474,90,G,A woman’s pursuit of happiness leads to unexpected twists.,Logan Flynn,Jessica Chastain,,
Veil of Darkness,1940,7.9,179,1131088,99,R,A journey of self-discovery leads to unexpected adventures.,Xander Price,Harrison Ford,,
Out of the Dark,1948,8.2,128,2166397,25,PG,A man’s struggle for survival takes him to the edge of insanity.,Violet Winter,Martin Freeman,,
Whispers of Hope,1955,7.8,154,1405476,48,PG,"An ancient evil is awakening, and it’s up to one person to stop it.",Hector Waters,Kristen Stewart,,
Lost Stars,2024,8.2,163,1310567,36,PG-13,A politician’s dark past threatens to derail their career.,Hector Waters,Emma Roberts,,
Shattered Heart,1983,7.4,115,2643371,51,PG-13,A woman’s past catches up to her in the form of a vengeful ex-lover.,Jasper Hart,Michael B. Jordan,,
Hearts in Battle,1988,8.4,120,1013085,77,PG-13,A scientist’s obsession leads to unforeseen consequences.,Tessa Bright,John Boyega,,
Redemption Road,1925,9.0,149,1608791,51,R,A love story that transcends time and space.,Brayden Ford,Jennifer Lawrence,,
End of the Line,1943,8.1,97,2078211,68,PG,A thief must outwit a group of dangerous criminals.,James Phoenix,Kate Winslet,,
Soul of the Sea,1931,8.4,122,820160,67,PG,A seemingly perfect world begins to unravel as secrets are revealed.,Nathanial Rivers,Keanu Reeves,,
Silent Requiem,2011,9.0,165,1676309,60,G,A group of strangers must survive a deadly game of cat and mouse.,Gabriel Bennett,Jack Black,,
Mystery of the Ancient,1986,9.0,123,934205,72,PG,A young woman discovers her true purpose in life.,Riley Rivers,Jeff Bridges,,
Waking the Giant,1939,8.3,85,928126,100,PG-13,A group of strangers find themselves trapped in a haunted mansion.,David Ashford,Kristen Stewart,,
Shattered Horizons,1933,8.4,107,2109621,36,PG-13,"A scientist’s experiment goes terribly wrong, threatening humanity.",Naomi Shaw,Oscar Isaac,,
Fires of the Past,1948,8.4,159,2928471,39,PG-13,A group of survivors must face a deadly virus that turns people into monsters.,Carter Holt,Samuel L. Jackson,,
Awakening the Beast,1942,9.2,122,2455090,26,R,A group of strangers find themselves trapped in a haunted mansion.,Leo Bellamy,Oscar Isaac,,
Unseen Forces,1964,8.0,137,2120718,95,G,An ancient artifact holds the key to a forgotten civilization.,Scarlett Reed,Olivia Wilde,,
