Index,Title,Year,Rating,Length (minutes),Rating Amount,Group,Metascore,Directors,Stars,Short Description
1,The Shawshank Redemption,1994,9.3,142,3000000,R,,"A banker convicted of uxoricide forms a friendship over a quarter century with a hardened convict, while maintaining his innocence and trying to remain hopeful through simple compassion.","A banker convicted of uxoricide forms a friendship over a quarter century with a hardened convict, while maintaining his innocence and trying to remain hopeful through simple compassion."
2,Attack on Titan the Movie: The Last Attack,2024,9.3,145,11000,N/A,,N/A,N/A
3,The Godfather,1972,9.2,175,2100000,N/A,,N/A,N/A
4,Ramayana: The Legend of Prince Rama,1993,9.2,135,16000,N/A,82,N/A,N/A
5,The Chaos Class,1975,9.2,85,44000,N/A,100,N/A,N/A
6,The Dark Knight,2008,9.0,152,3000000,N/A,84,N/A,N/A
7,Schindler's List,1993,9.0,195,1500000,N/A,95,N/A,N/A
8,The Lord of the Rings: The Return of the King,2003,9.0,201,2000000,N/A,94,N/A,N/A
9,12 Angry Men,1957,9.0,96,907000,N/A,97,N/A,N/A
10,The Godfather Part II,1974,9.0,202,1400000,N/A,90,N/A,N/A
11,The Silence of Swastika,2021,9.0,56,11000,N/A,84,N/A,N/A
12,I'm Still Here,2024,8.9,136,12000,N/A,92,N/A,N/A
13,The Lord of the Rings: The Fellowship of the Ring,2001,8.9,178,2100000,N/A,95,N/A,N/A
14,Pulp Fiction,1994,8.9,154,2300000,N/A,74,N/A,N/A
15,O.J.: Made in America,2016,8.9,467,23000,N/A,67,N/A,N/A
16,The Message,1976,8.9,207,11000,N/A,82,N/A,N/A
17,Tosun Pasha,1976,8.9,90,25000,N/A,87,N/A,N/A
18,Mirror Game,2016,8.9,147,30000,N/A,90,N/A,N/A
19,Inception,2010,8.8,148,2600000,N/A,74,N/A,N/A
20,Fight Club,1999,8.8,139,2400000,N/A,73,N/A,N/A
21,Forrest Gump,1994,8.8,142,2300000,N/A,92,N/A,N/A
22,The Lord of the Rings: The Two Towers,2002,8.8,179,1800000,N/A,84,N/A,N/A
23,"The Good, the Bad and the Ugly",1966,8.8,178,840000,N/A,82,N/A,N/A
24,12th Fail,2023,8.8,147,141000,N/A,94,N/A,N/A
25,The Phantom of the Opera at the Royal Albert Hall,2011,8.8,137,10000,N/A,99,N/A,N/A
26,Balkan Spy,1984,8.8,95,13000,N/A,65,N/A,N/A
27,#Home,2021,8.8,158,16000,N/A,91,N/A,N/A
28,Maratonci trce pocasni krug,1982,8.8,92,17000,N/A,86,N/A,N/A
29,The Chaos Class Failed the Class,1975,8.8,95,25000,N/A,61,N/A,N/A
30,The Foster Brothers,1976,8.8,80,22000,N/A,90,N/A,N/A
31,Interstellar,2014,8.7,169,2300000,N/A,79,N/A,N/A
32,The Matrix,1999,8.7,136,2100000,N/A,75,N/A,N/A
33,Goodfellas,1990,8.7,145,1300000,N/A,96,N/A,N/A
34,One Flew Over the Cuckoo's Nest,1975,8.7,133,1100000,N/A,58,N/A,N/A
35,Star Wars: Episode V - The Empire Strikes Back,1980,8.7,124,1400000,N/A,89,N/A,N/A
36,Jai Bhim,2021,8.7,164,223000,N/A,98,N/A,N/A
37,Kill Bill: The Whole Bloody Affair,2006,8.7,247,18000,N/A,85,N/A,N/A
38,Stop Making Sense,1984,8.7,88,22000,N/A,67,N/A,N/A
39,Shoah,1985,8.7,566,11000,N/A,79,N/A,N/A
40,Soorarai Pottru,2020,8.7,153,127000,N/A,97,N/A,N/A
41,777 Charlie,2022,8.7,164,42000,N/A,89,N/A,N/A
42,Toma,2021,8.7,140,13000,N/A,66,N/A,N/A
43,Rocketry: The Nambi Effect,2022,8.7,157,60000,N/A,85,N/A,N/A
44,Nayakan,1987,8.7,145,26000,N/A,88,N/A,N/A
45,Pariyerum Perumal,2018,8.7,154,19000,N/A,64,N/A,N/A
46,"Saban, Son of Saban",1977,8.7,90,19000,N/A,89,N/A,N/A
47,Demon Slayer: Kimetsu no Yaiba - Mt. Natagumo Arc,2020,8.7,138,17000,N/A,76,N/A,N/A
48,Who's Singin' Over There?,1980,8.7,86,17000,N/A,81,N/A,N/A
49,Resurrection,2018,8.7,147,17000,N/A,87,N/A,N/A
50,"Feyzo, the Polite One",1978,8.7,83,18000,N/A,86,N/A,N/A
51,Manichithrathazhu,1993,8.7,169,13000,N/A,85,N/A,N/A
52,Daman,2022,8.7,121,14000,N/A,62,N/A,N/A
53,Happy Days,1978,8.7,95,12000,N/A,82,N/A,N/A
54,The Chaos Class Is Waking Up,1976,8.7,94,21000,N/A,94,N/A,N/A
55,Se7en,1995,8.6,127,1900000,N/A,100,N/A,N/A
56,Saving Private Ryan,1998,8.6,169,1500000,N/A,57,N/A,N/A
57,The Silence of the Lambs,1991,8.6,118,1600000,N/A,97,N/A,N/A
58,The Green Mile,1999,8.6,189,1500000,N/A,80,N/A,N/A
59,Star Wars: Episode IV - A New Hope,1977,8.6,121,1500000,N/A,100,N/A,N/A
60,City of God,2002,8.6,130,827000,N/A,82,N/A,N/A
61,Terminator 2: Judgment Day,1991,8.6,137,1200000,N/A,96,N/A,N/A
62,Spirited Away,2001,8.6,124,892000,N/A,99,N/A,N/A
63,Life Is Beautiful,1997,8.6,116,767000,N/A,N/A,N/A,N/A
64,It's a Wonderful Life,1946,8.6,130,522000,N/A,N/A,N/A,N/A
65,Seven Samurai,1954,8.6,207,379000,N/A,N/A,N/A,N/A
66,Harakiri,1962,8.6,133,77000,N/A,N/A,N/A,N/A
67,Demon Slayer: Kimetsu no Yaiba - Tsuzumi Mansion Arc,2021,8.6,87,29000,N/A,N/A,N/A,N/A
68,A Dog's Will,2000,8.6,104,18000,N/A,N/A,N/A,N/A
69,Earthlings,2005,8.6,95,20000,N/A,N/A,N/A,N/A
70,The Legend of Maula Jatt,2022,8.6,153,11000,N/A,N/A,N/A,N/A
71,Anbe Sivam,2003,8.6,160,26000,N/A,N/A,N/A,N/A
72,"Pretty Village, Pretty Flame",1996,8.6,115,18000,N/A,N/A,N/A,N/A
73,My Dear Brother,1973,8.6,86,11000,N/A,N/A,N/A,N/A
74,The Broken Landlord,1985,8.6,101,17000,N/A,N/A,N/A,N/A
75,The Chaos Class Is on Vacation,1977,8.6,97,19000,N/A,N/A,N/A,N/A
76,Gladiator,2000,8.5,155,1700000,N/A,N/A,N/A,N/A
77,Dune: Part Two,2024,8.5,166,585000,N/A,N/A,N/A,N/A
