No.,Title,Year,Rating,Duration (minutes),Rating Amount,Group,Metascore,Short Description,Directors,Stars
1,The Shawshank Redemption,1994,9.3,142,3000000,1994,,"A banker convicted of uxoricide forms a friendship over a quarter century with a hardened convict, while maintaining his innocence and trying to remain hopeful through simple compassion.",Frank Darabont,Tim RobbinsMorgan FreemanBob Gunton
2,Attack on Titan the Movie: The Last Attack,2024,9.3,145,11000,2024,,"A banker convicted of uxoricide forms a friendship over a quarter century with a hardened convict, while maintaining his innocence and trying to remain hopeful through simple compassion.",Yûichirô Hayashi,Natsuki HanaeYoshimasa HosoyaMarina Inoue
3,The Godfather,1972,9.2,175,2100000,1972,,"A banker convicted of uxoricide forms a friendship over a quarter century with a hardened convict, while maintaining his innocence and trying to remain hopeful through simple compassion.",Francis Ford Coppola,Marlon BrandoAl PacinoJames Caan
4,Ramayana: The Legend of Prince Rama,1993,9.2,135,16000,1993,82,,Ram MohanYûgô SakôKoichi Saski,Arun GovilNikhil KapoorEdie Mirman
5,The Chaos Class,1975,9.2,85,44000,1975,100,,Ertem Egilmez,Münir ÖzkulTarik AkanHalit Akçatepe
6,The Dark Knight,2008,9.0,152,3000000,2008,84,,Christopher Nolan,Christian BaleHeath LedgerAaron Eckhart
7,Schindler's List,1993,9.0,195,1500000,1993,95,,Steven Spielberg,Liam NeesonRalph FiennesBen Kingsley
8,The Lord of the Rings: The Return of the King,2003,9.0,201,2000000,2003,94,,Peter Jackson,Elijah WoodViggo MortensenIan McKellen
9,12 Angry Men,1957,9.0,96,907000,1957,97,,Sidney Lumet,Henry FondaLee J. CobbMartin Balsam
10,The Godfather Part II,1974,9.0,202,1400000,1974,90,,Francis Ford Coppola,Al PacinoRobert De NiroRobert Duvall
11,The Silence of Swastika,2021,9.0,56,11000,2021,85,,Anuj Bhardwaj,Suzanne Bernert
12,I'm Still Here,2024,8.9,136,12000,2024,92,,Walter Salles,Fernanda TorresFernanda MontenegroSelton Mello
13,The Lord of the Rings: The Fellowship of the Ring,2001,8.9,178,2100000,2001,95,,Peter Jackson,Elijah WoodIan McKellenOrlando Bloom
14,Pulp Fiction,1994,8.9,154,2300000,1994,74,,Quentin Tarantino,John TravoltaUma ThurmanSamuel L. Jackson
15,O.J.: Made in America,2016,8.9,467,23000,2016,67,,Ezra Edelman,Willie BrownHarry EdwardsJohn McKay
16,The Message,1976,8.9,207,11000,1976,82,,Moustapha Akkad,Abdallah GheithMona WassefHamdy Gheith
17,Tosun Pasha,1976,8.9,90,25000,1976,87,,Kartal Tibet,Kemal SunalMüjde ArAdile Nasit
18,Mirror Game,2016,8.9,147,30000,2016,90,,Amitabh Reza Chowdhury,Chanchal ChowdhuryMasuma Rahman NabilaPartha Barua
