Title,Year,Rating
1. The Shawshank Redemption,1994,9.3
2. Attack on Titan the Movie: The Last Attack,2024,9.3
3. The Godfather,1972,9.2
4. Ramayana: The Legend of Prince Rama,1993,9.2
5. The Chaos Class,1975,9.2
6. The Dark Knight,2008,9.0
7. Schindler's List,1993,9.0
8. The Lord of the Rings: The Return of the King,2003,9.0
9. 12 Angry Men,1957,9.0
10. The Godfather Part II,1974,9.0
11. The Silence of Swastika,2021,9.0
12. I'm Still Here,2024,8.9
13. The Lord of the Rings: The Fellowship of the Ring,2001,8.9
14. Pulp Fiction,1994,8.9
15. O.J.: Made in America,2016,8.9
16. The Message,1976,8.9
17. Tosun Pasha,1976,8.9
18. Mirror Game,2016,8.9
19. Inception,2010,8.8
20. Fight Club,1999,8.8
21. Forrest Gump,1994,8.8
22. The Lord of the Rings: The Two Towers,2002,8.8
"23. The Good, the Bad and the Ugly",1966,8.8
24. 12th Fail,2023,8.8
25. The Phantom of the Opera at the Royal Albert Hall,2011,8.8
26. Balkan Spy,1984,8.8
27. #Home,2021,8.8
28. Maratonci trce pocasni krug,1982,8.8
29. The Chaos Class Failed the Class,1975,8.8
30. The Foster Brothers,1976,8.8
31. Interstellar,2014,8.7
32. The Matrix,1999,8.7
33. Goodfellas,1990,8.7
34. One Flew Over the Cuckoo's Nest,1975,8.7
35. Star Wars: Episode V - The Empire Strikes Back,1980,8.7
36. Jai Bhim,2021,8.7
37. Kill Bill: The Whole Bloody Affair,2006,8.7
38. Stop Making Sense,1984,8.7
39. Shoah,1985,8.7
40. Soorarai Pottru,2020,8.7
41. 777 Charlie,2022,8.7
42. Toma,2021,8.7
43. Rocketry: The Nambi Effect,2022,8.7
44. Nayakan,1987,8.7
45. Pariyerum Perumal,2018,8.7
"46. Saban, Son of Saban",1977,8.7
47. Demon Slayer: Kimetsu no Yaiba - Mt. Natagumo Arc,2020,8.7
48. Who's Singin' Over There?,1980,8.7
49. Resurrection,2018,8.7
"50. Feyzo, the Polite One",1978,8.7
