Index,Title,Year,Rating,Length (minutes),Rating Amount,Group,Metascore,Short Description
1,1. The Shawshank Redemption,1994,9.3,142,3000000,R,82,"A banker convicted of uxoricide forms a friendship over a quarter century with a hardened convict, while maintaining his innocence and trying to remain hopeful through simple compassion."
2,2. Attack on Titan the Movie: The Last Attack,2024,9.3,145,11000,N/A,N/A,"The fate of the world hangs in the balance as Eren unleashes the ultimate power of the Titans. With a burning determination to eliminate all who threaten Eldia, he leads an unstoppable army of Colossal Titans towards Marley."
3,3. The Godfather,1972,9.2,175,2100000,R,100,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.
4,4. Ramayana: The Legend of Prince Rama,1993,9.2,135,16000,PG,N/A,"An anime adaptation of the Hindu epic the Ramayana, where Lord Ram combats the wicked king Ravana."
5,5. The Chaos Class,1975,9.2,85,44000,N/A,N/A,"Lazy, uneducated students share a very close bond. They live together in the dormitory, where they plan their latest pranks. When a new headmaster arrives, the students naturally try to overthrow him. A comic war of nitwits follows."
6,6. The Dark Knight,2008,9.0,152,3000000,PG-13,84,"When a menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman, James Gordon and Harvey Dent must work together to put an end to the madness."
7,7. Schindler's List,1993,9.0,195,1500000,R,95,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis."
8,8. The Lord of the Rings: The Return of the King,2003,9.0,201,2100000,PG-13,94,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.
9,9. 12 Angry Men,1957,9.0,96,907000,Approved,97,The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.
10,10. The Godfather Part II,1974,9.0,202,1400000,R,90,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate."
11,11. The Silence of Swastika,2021,9.0,56,11000,N/A,N/A,"Hitler used a symbol for his political and racial ideology. The world today calls that symbol ""Swastika"", an Indian name to a symbol used by Hindus, Buddhists, and Jains for ages. But was it a Swastika? or Something else?"
12,12. I'm Still Here,2024,8.9,136,13000,PG-13,85,A woman married to a former politician during the military dictatorship in Brazil is forced to chart a new path for herself and her children after her family's life is impacted by a violent and arbitrary act.
13,13. The Lord of the Rings: The Fellowship of the Ring,2001,8.9,178,2100000,PG-13,92,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.
14,14. Pulp Fiction,1994,8.9,154,2300000,R,95,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
15,15. O.J.: Made in America,2016,8.9,467,23000,TV-MA,N/A,"A chronicle of the rise and fall of O.J. Simpson, whose high-profile murder trial exposed the extent of American racial tensions, revealing a fractured and divided nation."
16,16. The Message,1976,8.9,207,11000,PG,N/A,"The story of prophet ""Muhammad"" and the delivery of the message of God ""Allah."""
17,17. Tosun Pasha,1976,8.9,90,25000,N/A,N/A,"In a battle for the ""Green Valley"", long-standing Turkish rival families Seferoglu and Tellioglu compete. Daver Bey, father of the lovely Leyla, holds the key as both families pursue her hand in marriage."
18,18. Mirror Game,2016,8.9,147,30000,N/A,N/A,"A struggling actor becomes a professional impostor, hired to impersonate people for financial gain, but as he delves deeper into his work he becomes embroiled in trouble that threatens to unravel his life."
19,19. Inception,2010,8.8,148,2600000,PG-13,74,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster."
20,20. Fight Club,1999,8.8,139,2400000,R,67,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.
21,21. Forrest Gump,1994,8.8,142,2300000,PG-13,82,"The history of the United States from the 1950s to the '70s unfolds from the perspective of an Alabama man with an IQ of 75, who yearns to be reunited with his childhood sweetheart."
22,22. The Lord of the Rings: The Two Towers,2002,8.8,179,1800000,PG-13,87,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard."
23,"23. The Good, the Bad and the Ugly",1966,8.8,178,841000,R,90,A bounty-hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.
24,24. 12th Fail,2023,8.8,147,141000,N/A,N/A,The real-life story of IPS Officer Manoj Kumar Sharma and IRS Officer Shraddha Joshi.
25,25. The Phantom of the Opera at the Royal Albert Hall,2011,8.8,137,10000,Not Rated,N/A,"A disfigured musical genius, hidden away in the Paris Opera House, terrorizes the opera company for the unwitting benefit of a young protégée whom he trains and loves."
26,26. Balkan Spy,1984,8.8,95,13000,N/A,N/A,"Convinced that his subtenant is a spy and an enemy of the state, a man falls into deep paranoia which leads to absurd and destructive chain of events."
27,27. #Home,2021,8.8,158,16000,N/A,N/A,"Oliver Twist (Indrans) wants to be tech-savvy and become a better companion to his two sons, who spend more time on their phones than with their loved ones."
28,28. Maratonci trce pocasni krug,1982,8.8,92,17000,N/A,N/A,"The Topalovic family has been in the burial business for generations. When the old (150 yrs old) Pantelija dies, five generations of his heirs start to fight for the inheritance."
