Directors,Stars
Frank Darabont,"Tim Robbins, Morgan Freeman, Bob Gunton"
Yûichirô Hayashi,"Natsuki Hanae, Yoshimasa Hosoya, Marina Inoue"
Francis Ford Coppola,"Marlon Brando, Al Pacino, James Caan"
"Ram Mohan, Yûgô Sakô, Koichi Saski","Arun Govil, Nikhil Kapoor, Edie Mirman"
Ertem Egilmez,"Münir Özkul, Tarik Akan, Halit Akçatepe"
Christopher Nolan,"Christian Bale, Heath Ledger, Aaron Eckhart"
Steven Spielberg,"Liam Neeson, Ralph Fiennes, Ben Kingsley"
Peter Jackson,"Elijah Wood, Viggo Mortensen, Ian McKellen"
Sidney Lumet,"Henry Fonda, Lee J. Cobb, Martin Balsam"
Francis Ford Coppola,"Al Pacino, Robert De Niro, Robert Duvall"
Anuj Bhardwaj,Suzanne Bernert
Walter Salles,"Fernanda Torres, Fernanda Montenegro, Selton Mello"
Peter Jackson,"Elijah Wood, Ian McKellen, Orlando Bloom"
Quentin Tarantino,"John Travolta, Uma Thurman, Samuel L. Jackson"
Ezra Edelman,"Willie Brown, Harry Edwards, John McKay"
Moustapha Akkad,"Abdallah Gheith, Mona Wassef, Hamdy Gheith"
Kartal Tibet,"Kemal Sunal, Müjde Ar, Adile Nasit"
Amitabh Reza Chowdhury,"Chanchal Chowdhury, Masuma Rahman Nabila, Partha Barua"
Christopher Nolan,"Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page"
David Fincher,"Brad Pitt, Edward Norton, Meat Loaf"
Robert Zemeckis,"Tom Hanks, Robin Wright, Gary Sinise"
Peter Jackson,"Elijah Wood, Ian McKellen, Viggo Mortensen"
Sergio Leone,"Clint Eastwood, Eli Wallach, Lee Van Cleef"
Vidhu Vinod Chopra,"Vikrant Massey, Medha Shankr, Anant Joshi"
"Nick Morris, Laurence Connor","Ramin Karimloo, Sierra Boggess, Hadley Fraser"
"Dusan Kovacevic, Bozidar 'Bota' Nikolic","Danilo 'Bata' Stojkovic, Bora Todorovic, Mira Banjac"
Rojin Thomas,"Indrans, Sreenath Bhasi, Manju Pillai"
Slobodan Sijan,"Bogdan Diklic, Danilo 'Bata' Stojkovic, Pavle Vuisic"
Ertem Egilmez,"Münir Özkul, Tarik Akan, Kemal Sunal"
Ertem Egilmez,"Kemal Sunal, Sener Sen, Halit Akçatepe"
Christopher Nolan,"Matthew McConaughey, Anne Hathaway, Jessica Chastain"
"Lana Wachowski, Lilly Wachowski","Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss"
Martin Scorsese,"Robert De Niro, Ray Liotta, Joe Pesci"
Milos Forman,"Jack Nicholson, Louise Fletcher, Michael Berryman"
Irvin Kershner,"Mark Hamill, Harrison Ford, Carrie Fisher"
T.J. Gnanavel,"Suriya, Lijo Mol Jose, Manikandan K."
Quentin Tarantino,"Uma Thurman, Lucy Liu, Vivica A. Fox"
Jonathan Demme,"David Byrne, Bernie Worrell, Alex Weir"
Claude Lanzmann,"Simon Srebnik, Michael Podchlebnik, Motke Zaïdl"
Sudha Kongara,"Suriya, Aparna Balamurali, Paresh Rawal"
Kiranraj K,"Rakshit Shetty, Charlie, Sangeetha Sringeri"
"Dragan Bjelogrlic, Zoran Lisinac","Milan Maric, Tamara Dragicevic, Petar Bencina"
Madhavan,"Madhavan, Simran, Rajit Kapoor"
Mani Ratnam,"Kamal Haasan, Saranya Ponvannan, Delhi Ganesh"
Mari Selvaraj,"Kathir, Anandhi, Yogi Babu"
Ertem Egilmez,"Kemal Sunal, Halit Akçatepe, Sener Sen"
Haruo Sotozaki,
Slobodan Sijan,"Pavle Vuisic, Dragan Nikolic, Danilo 'Bata' Stojkovic"
Ram,"Mammootty, Sadhana, Anjali"
Atif Yilmaz,"Kemal Sunal, Müjde Ar, Adile Nasit"
Fazil,"Mohanlal, Shobana, Suresh Gopi"
Orhan Aksoy,"Münir Özkul, Adile Nasit, Sener Sen"
Ertem Egilmez,"Münir Özkul, Kemal Sunal, Halit Akçatepe"
David Fincher,"Morgan Freeman, Brad Pitt, Kevin Spacey"
Steven Spielberg,"Tom Hanks, Matt Damon, Tom Sizemore"
Jonathan Demme,"Jodie Foster, Anthony Hopkins, Scott Glenn"
Frank Darabont,"Tom Hanks, Michael Clarke Duncan, David Morse"
George Lucas,"Mark Hamill, Harrison Ford, Carrie Fisher"
"Fernando Meirelles, Kátia Lund","Alexandre Rodrigues, Leandro Firmino, Matheus Nachtergaele"
