Short Description,Directors,Stars
"A banker convicted of uxoricide forms a friendship over a quarter century with a hardened convict, while maintaining his innocence and trying to remain hopeful through simple compassion.",Frank Darabont,"Tim Robbins, Morgan Freeman, Bob Gunton"
The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.,Francis Ford Coppola,"Marlon Brando, Al Pacino, James Caan"
"When a menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman, James Gordon and Harvey Dent must work together to put an end to the madness.",Christopher Nolan,"Christian Bale, Heath Ledger, Aaron Eckhart"
"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",Francis Ford Coppola,"Al Pacino, Robert De Niro, Robert Duvall"
The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.,Sidney Lumet,"Henry Fonda, Lee J. Cobb, Martin Balsam"
Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,Peter Jackson,"Elijah Wood, Viggo Mortensen, Ian McKellen"
"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",Steven Spielberg,"Liam Neeson, Ralph Fiennes, Ben Kingsley"
"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",Quentin Tarantino,"John Travolta, Uma Thurman, Samuel L. Jackson"
A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,Peter Jackson,"Elijah Wood, Ian McKellen, Orlando Bloom"
A bounty-hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,Sergio Leone,"Clint Eastwood, Eli Wallach, Lee Van Cleef"
