Title,Year,Rating,Duration (minutes),Rating Amount,Group
1. The Shawshank Redemption,1994,9.3,142,0,R
2. The Godfather,1972,9.2,175,0,R
3. The Dark Knight,2008,9.0,152,0,PG-13
4. The Godfather Part II,1974,9.0,202,0,R
5. 12 Angry Men,1957,9.0,96,906000,Approved
6. The Lord of the Rings: The Return of the King,2003,9.0,201,0,PG-13
7. Schindler's List,1993,9.0,195,0,R
8. Pulp Fiction,1994,8.9,154,0,R
9. The Lord of the Rings: The Fellowship of the Ring,2001,8.9,178,0,PG-13
"10. The Good, the Bad and the Ugly",1966,8.8,178,840000,R
11. Forrest Gump,1994,8.8,142,0,PG-13
12. The Lord of the Rings: The Two Towers,2002,8.8,179,0,PG-13
13. Fight Club,1999,8.8,139,0,R
14. Inception,2010,8.8,148,0,PG-13
15. Star Wars: Episode V - The Empire Strikes Back,1980,8.7,124,0,PG
16. The Matrix,1999,8.7,136,0,R
17. Goodfellas,1990,8.7,145,0,R
18. One Flew Over the Cuckoo's Nest,1975,8.7,133,0,R
19. Interstellar,2014,8.7,169,0,PG-13
20. Se7en,1995,8.6,127,0,R
21. It's a Wonderful Life,1946,8.6,130,522000,PG
22. Seven Samurai,1954,8.6,207,379000,Not Rated
23. The Silence of the Lambs,1991,8.6,118,0,R
24. Saving Private Ryan,1998,8.6,169,0,R
25. City of God,2002,8.6,130,826000,R
26. The Green Mile,1999,8.6,189,0,R
27. Life Is Beautiful,1997,8.6,116,767000,PG-13
28. Terminator 2: Judgment Day,1991,8.6,137,0,R
29. Star Wars: Episode IV - A New Hope,1977,8.6,121,0,PG
30. Back to the Future,1985,8.5,116,0,PG
31. Spirited Away,2001,8.6,124,891000,PG
32. The Pianist,2002,8.5,150,951000,R
33. Gladiator,2000,8.5,155,0,R
34. Parasite,2019,8.5,132,0,R
35. Psycho,1960,8.5,109,743000,R
36. The Lion King,1994,8.5,88,0,G
37. The Departed,2006,8.5,151,0,R
38. Grave of the Fireflies,1988,8.5,88,336000,Not Rated
39. Whiplash,2014,8.5,106,0,R
40. American History X,1998,8.5,119,0,R
41. Harakiri,1962,8.6,133,77000,Not Rated
42. The Prestige,2006,8.5,130,0,PG-13
43. Spider-Man: Across the Spider-Verse,2023,8.5,140,431000,PG
44. Léon: The Professional,1994,8.5,110,0,R
45. Casablanca,1942,8.5,102,624000,PG
46. The Usual Suspects,1995,8.5,106,0,R
47. The Intouchables,2011,8.5,112,963000,R
48. Cinema Paradiso,1988,8.5,174,296000,PG
49. Modern Times,1936,8.5,87,269000,G
50. Alien,1979,8.5,117,0,R
51. Rear Window,1954,8.5,112,540000,PG
52. Once Upon a Time in the West,1968,8.5,166,363000,PG-13
53. Dune: Part Two,2024,8.5,166,583000,PG-13
54. Django Unchained,2012,8.5,165,0,R
55. City Lights,1931,8.5,87,204000,G
56. Apocalypse Now,1979,8.4,147,733000,R
57. Memento,2000,8.4,113,0,R
58. WALL·E,2008,8.4,98,0,G
59. Raiders of the Lost Ark,1981,8.4,115,0,PG
60. The Lives of Others,2006,8.4,137,423000,R
61. Avengers: Infinity War,2018,8.4,149,0,PG-13
62. Sunset Boulevard,1950,8.4,110,246000,Approved
63. Spider-Man: Into the Spider-Verse,2018,8.4,117,712000,PG
64. 12th Fail,2023,8.8,147,140000,Approved
65. Paths of Glory,1957,8.4,88,223000,Approved
