Index,Title,Year,Rating,Length (mins),Rating Amount,Group,Metascore,Short Description,Directors,Stars,Genres
1.0,The Shawshank Redemption,1994.0,9.3,142.0,3000000.0,15,82.0,"A banker convicted of uxoricide forms a friendship over a quarter century with a hardened convict, while maintaining his innocence and trying to remain hopeful through simple compassion.",Frank Darabont,"Tim Robbins, Morgan Freeman, Bob Gunton",Drama
2.0,Attack on Titan the Movie: The Last Attack,2024.0,9.3,145.0,11000.0,15,,"The fate of the world hangs in the balance as Eren unleashes the ultimate power of the Titans. With a burning determination to eliminate all who threaten Eldia, he leads an unstoppable army of Colossal Titans towards Marley.",Yûichirô Hayashi,"Natsuki Hanae, Yoshimasa Hosoya, Marina Inoue","Animation, Action, Drama"
3.0,The Godfather,1972.0,9.2,175.0,2100000.0,15,100.0,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.,Francis Ford Coppola,"Marlon Brando, Al Pacino, James Caan","Crime, Drama"
4.0,Hababam Sinifi,1975.0,9.2,85.0,44000.0,12A,,"Lazy, uneducated students share a very close bond. They live together in the dormitory, where they plan their latest pranks. When a new headmaster arrives, the students naturally try to overthrow him. A comic war of nitwits follows.",Ertem Egilmez,"Münir Özkul, Tarik Akan, Halit Akçatepe",Comedy
5.0,Ramayana: The Legend of Prince Rama,1993.0,9.1,135.0,16000.0,PG,,"An anime adaptation of the Hindu epic the Ramayana, where Lord Ram combats the wicked king Ravana.","Ram Mohan, Yûgô Sakô, Koichi Saski","Arun Govil, Nikhil Kapoor, Edie Mirman","Animation, Action, Adventure"
6.0,12 Angry Men,1957.0,9.0,96.0,911000.0,U,97.0,The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.,Sidney Lumet,"Henry Fonda, Lee J. Cobb, Martin Balsam","Crime, Drama"
7.0,The Dark Knight,2008.0,9.0,152.0,3000000.0,12A,84.0,"When a menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman, James Gordon and Harvey Dent must work together to put an end to the madness.",Christopher Nolan,"Christian Bale, Heath Ledger, Aaron Eckhart","Action, Crime, Drama"
8.0,Schindler's List,1993.0,9.0,195.0,1500000.0,15,95.0,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",Steven Spielberg,"Liam Neeson, Ralph Fiennes, Ben Kingsley","Biography, Drama, History"
9.0,The Lord of the Rings: The Return of the King,2003.0,9.0,201.0,2100000.0,12A,94.0,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,Peter Jackson,"Elijah Wood, Viggo Mortensen, Ian McKellen","Adventure, Drama, Fantasy"
10.0,The Godfather Part II,1974.0,9.0,202.0,1400000.0,X,90.0,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",Francis Ford Coppola,"Al Pacino, Robert De Niro, Robert Duvall","Crime, Drama"
11.0,The Silence of Swastika,2021.0,9.0,56.0,11000.0,,,"Hitler used a symbol for his political and racial ideology. The world today calls that symbol ""Swastika"", an Indian name to a symbol used by Hindus, Buddhists, and Jains for ages. But was it a Swastika? or Something else?",Anuj Bhardwaj,Suzanne Bernert,"Documentary, History"
12.0,Pulp Fiction,1994.0,8.9,154.0,2300000.0,18,95.0,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",Quentin Tarantino,"John Travolta, Uma Thurman, Samuel L. Jackson","Crime, Drama"
13.0,The Lord of the Rings: The Fellowship of the Ring,2001.0,8.9,178.0,2100000.0,PG,92.0,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,Peter Jackson,"Elijah Wood, Ian McKellen, Orlando Bloom","Adventure, Drama, Fantasy"
14.0,O.J.: Made in America,2016.0,8.9,467.0,23000.0,18,,"A chronicle of the rise and fall of O.J. Simpson, whose high-profile murder trial exposed the extent of American racial tensions, revealing a fractured and divided nation.",Directors,Stars,Genres
15.0,The Message,1976.0,8.9,207.0,11000.0,15,,"The story of prophet ""Muhammad"" and the delivery of the message of God ""Allah.""",Frank Darabont,"Tim Robbins, Morgan Freeman, Bob Gunton",Drama
16.0,Mirror Game,2016.0,8.9,147.0,30000.0,15,,"A struggling actor becomes a professional impostor, hired to impersonate people for financial gain, but as he delves deeper into his work he becomes embroiled in trouble that threatens to unravel his life.",Yûichirô Hayashi,"Natsuki Hanae, Yoshimasa Hosoya, Marina Inoue","Animation, Action, Drama"
17.0,Tosun Pasha,1976.0,8.9,90.0,25000.0,,,"In a battle for the ""Green Valley"", long-standing Turkish rival families Seferoglu and Tellioglu compete. Daver Bey, father of the lovely Leyla, holds the key as both families pursue her hand in marriage.",Francis Ford Coppola,"Marlon Brando, Al Pacino, James Caan","Crime, Drama"
18.0,I'm Still Here,2024.0,8.8,137.0,70000.0,15,86.0,"A mother is forced to reinvent herself when her family's life is shattered by an act of arbitrary violence during the tightening grip of a military dictatorship in Brazil, 1971.",Directors,Stars,Genres
19.0,Inception,2010.0,8.8,148.0,2700000.0,12A,74.0,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.",Frank Darabont,"Tim Robbins, Morgan Freeman, Bob Gunton",Drama
20.0,Fight Club,1999.0,8.8,139.0,2400000.0,15,67.0,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.,Yûichirô Hayashi,"Natsuki Hanae, Yoshimasa Hosoya, Marina Inoue","Animation, Action, Drama"
