Title,Year,Rating,Length (mins),Rating Amount,Group,Metascore,Short Description,Directors,Star 1,Star 2,Star 3,Genre 1,Genre 2,Genre 3
The Shawshank Redemption,0.7222222222222214,0.9999999999999996,0.16535433070866143,1.0,15,0.75,"A banker convicted of uxoricide forms a friendship over a quarter century with a hardened convict, while maintaining his innocence and trying to remain hopeful through simple compassion.",Frank Darabont,,,,,,
The Godfather,0.518518518518519,0.9473684210526305,0.23031496062992127,0.6989966555183946,15,1.0,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.,Francis Ford Coppola,,,,,,
12 Angry Men,0.37962962962962976,0.8421052631578942,0.07480314960629922,0.3013377926421405,U,0.9583333333333333,The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.,Sidney Lumet,,,,,,
The Dark Knight,0.8518518518518512,0.8421052631578942,0.1850393700787402,1.0,12A,0.7777777777777777,"When a menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman, James Gordon and Harvey Dent must work together to put an end to the madness.",Christopher Nolan,,,,,,
Schindler's List,0.7129629629629619,0.8421052631578942,0.2696850393700787,0.4983277591973244,15,0.9305555555555556,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",Steven Spielberg,,,,,,
The Lord of the Rings: The Return of the King,0.8055555555555536,0.8421052631578942,0.28149606299212604,0.6989966555183946,12A,0.9166666666666667,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,Peter Jackson,,,,,,
The Godfather Part II,0.5370370370370345,0.8421052631578942,0.2834645669291339,0.46488294314381273,X,0.8611111111111112,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",Francis Ford Coppola,,,,,,
Pulp Fiction,0.7222222222222214,0.7894736842105261,0.18897637795275593,0.7658862876254181,18,0.9305555555555556,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",Quentin Tarantino,,,,,,
The Lord of the Rings: The Fellowship of the Ring,0.7870370370370345,0.7894736842105261,0.23622047244094488,0.6989966555183946,PG,0.8888888888888888,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,Peter Jackson,,,,,,
I'm Still Here,1.0,0.736842105263158,0.15551181102362208,0.020066889632107024,15,0.8055555555555556,"A mother is forced to reinvent herself when her family's life is shattered by an act of arbitrary violence during the tightening grip of a military dictatorship in Brazil, 1971.",Directors,,,,,,
Inception,0.8703703703703702,0.736842105263158,0.17716535433070865,0.899665551839465,12A,0.6388888888888888,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.",Frank Darabont,,,,,,
Fight Club,0.768518518518519,0.736842105263158,0.15944881889763782,0.7993311036789298,15,0.5416666666666666,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.,Yûichirô Hayashi,,,,,,
Forrest Gump,0.7222222222222214,0.736842105263158,0.16535433070866143,0.7993311036789298,12,0.75,"The history of the United States from the 1950s to the '70s unfolds from the perspective of an Alabama man with an IQ of 75, who yearns to be reunited with his childhood sweetheart.",Francis Ford Coppola,,,,,,
"The Good, the Bad and the Ugly",0.4629629629629619,0.736842105263158,0.17716535433070865,0.2785953177257525,18,0.8611111111111112,A bounty-hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,Ertem Egilmez,,,,,,
The Lord of the Rings: The Two Towers,0.7962962962962941,0.736842105263158,0.23818897637795275,0.6321070234113713,12A,0.8194444444444444,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.","Ram Mohan, Yûgô Sakô, Koichi Saski",,,,,,
Interstellar,0.9074074074074083,0.6842105263157889,0.21850393700787404,0.7658862876254181,12A,0.6388888888888888,"When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans.",Christopher Nolan,,,,,,
GoodFellas,0.6851851851851833,0.6842105263157889,0.17125984251968504,0.431438127090301,18,0.8888888888888888,"The story of Henry Hill and his life in the mafia, covering his relationship with his wife Karen and his mob partners Jimmy Conway and Tommy DeVito.",Steven Spielberg,,,,,,
The Matrix,0.768518518518519,0.6842105263157889,0.15354330708661415,0.6989966555183946,15,0.625,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.",Directors,,,,,,
One Flew Over the Cuckoo's Nest,0.5462962962962941,0.6842105263157889,0.14763779527559054,0.3645484949832776,X,0.7777777777777777,"In the Fall of 1963, a Korean War veteran and criminal pleads insanity and is admitted to a mental institution, where he rallies up the scared patients against the tyrannical nurse.",Frank Darabont,,,,,,
Star Wars: Episode V - The Empire Strikes Back,0.5925925925925917,0.6842105263157889,0.1299212598425197,0.46488294314381273,U,0.75,"After the Empire overpowers the Rebel Alliance, Luke Skywalker begins training with Jedi Master Yoda, while Darth Vader and bounty hunter Boba Fett pursue his friends across the galaxy.",Yûichirô Hayashi,,,,,,
Shoah,0.6388888888888893,0.6842105263157889,1.0,0.0003344481605351171,PG,0.9861111111111112,Claude Lanzmann's epic documentary recounts the story of the Holocaust through interviews with witnesses - perpetrators as well as survivors.,"Ram Mohan, Yûgô Sakô, Koichi Saski",,,,,,
Stop Making Sense,0.6296296296296298,0.6842105263157889,0.05905511811023623,0.004013377926421405,PG,0.9166666666666667,A live performance of the band Talking Heads shot over the course of three nights at Hollywood's Pantages Theater in December of 1983 and featuring their most memorable songs.,Sidney Lumet,,,,,,
Seven,0.731481481481481,0.6315789473684208,0.13582677165354332,0.6321070234113713,18,0.5138888888888888,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",Quentin Tarantino,,,,,,
The Silence of the Lambs,0.6944444444444429,0.6315789473684208,0.11811023622047245,0.5317725752508361,18,0.8055555555555556,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",Peter Jackson,,,,,,
The Green Mile,0.768518518518519,0.6315789473684208,0.2578740157480315,0.4983277591973244,18,0.45833333333333337,A death row guard learns that a gentle giant in his charge possesses a mysterious gift.,Ezra Edelman,,,,,,
Saving Private Ryan,0.7592592592592595,0.6315789473684208,0.21850393700787404,0.5317725752508361,15,0.875,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.",Moustapha Akkad,,,,,,
City of God,0.7962962962962941,0.6315789473684208,0.14173228346456693,0.2739130434782609,18,0.7083333333333333,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.",Amitabh Reza Chowdhury,,,,,,
Star Wars: Episode IV - A New Hope,0.5648148148148131,0.6315789473684208,0.12401574803149606,0.4983277591973244,U,0.8611111111111112,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.",Kartal Tibet,,,,,,
Terminator 2: Judgment Day,0.6944444444444429,0.6315789473684208,0.15551181102362208,0.3979933110367893,15,0.6527777777777777,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten year old son John from an even more advanced and powerful cyborg.",Walter Salles,,,,,,
Spirited Away,0.7870370370370345,0.6315789473684208,0.1299212598425197,0.2959866220735786,PG,0.9444444444444444,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches and spirits, and where humans are changed into beasts.",Christopher Nolan,,,,,,
Life Is Beautiful,0.75,0.6315789473684208,0.11417322834645668,0.25384615384615383,PG,0.41666666666666663,"When an open-minded Jewish waiter and his son become victims of the Holocaust, he uses a perfect mixture of will, humor and imagination to protect his son from the dangers around their camp.",David Fincher,,,,,,
It's a Wonderful Life,0.27777777777777857,0.6315789473684208,0.14173228346456693,0.17157190635451505,U,0.8472222222222221,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.,Robert Zemeckis,,,,,,
Seven Samurai,0.3518518518518512,0.6315789473684208,0.29330708661417326,0.12374581939799331,PG,0.9722222222222221,"Farmers from a village exploited by bandits hire a veteran samurai for protection, and he gathers six other samurai to join him.",Sergio Leone,,,,,,
Harakiri,0.4259259259259238,0.6315789473684208,0.14763779527559054,0.022408026755852843,X,0.7916666666666667,"When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity.",Peter Jackson,,,,,,
Gladiator,0.7777777777777786,0.5789473684210527,0.1909448818897638,0.5652173913043479,15,0.5416666666666666,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,Irvin Kershner,,,,,,
Dune: Part Two,1.0,0.5789473684210527,0.21259842519685038,0.19632107023411371,12A,0.7083333333333333,"Paul Atreides unites with the Fremen while on a warpath of revenge against the conspirators who destroyed his family. Facing a choice between the love of his life and the fate of the universe, he endeavors to prevent a terrible future.",T.J. Gnanavel,,,,,,
Parasite,0.9537037037037024,0.5789473684210527,0.14566929133858267,0.3311036789297659,15,0.9583333333333333,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.,Quentin Tarantino,,,,,,
The Departed,0.8333333333333321,0.5789473684210527,0.18307086614173226,0.4983277591973244,18,0.7916666666666667,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,Claude Lanzmann,,,,,,
The Prestige,0.8333333333333321,0.5789473684210527,0.14173228346456693,0.4983277591973244,12A,0.5277777777777778,Rival 19th-century magicians engage in a bitter battle for trade secrets.,Jonathan Demme,,,,,,
Django Unchained,0.8888888888888893,0.5789473684210527,0.2106299212598425,0.5986622073578596,18,0.7361111111111112,"With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation owner in Mississippi.",Madhavan,,,,,,
Alien,0.5833333333333321,0.5789473684210527,0.11614173228346458,0.3311036789297659,X,0.8472222222222221,"After investigating a mysterious transmission of unknown origin, the crew of a commercial spacecraft encounters a deadly lifeform.",Kiranraj K,,,,,,
Whiplash,0.9074074074074083,0.5789473684210527,0.09448818897637795,0.3645484949832776,15,0.8472222222222221,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.,Sudha Kongara,,,,,,
The Usual Suspects,0.731481481481481,0.5789473684210527,0.09448818897637795,0.3979933110367893,18,0.6666666666666667,The sole survivor of a pier shoot-out tells the story of how a notorious criminal influenced the events that began with five criminals meeting in a seemingly random police lineup.,Slobodan Sijan,,,,,,
Back to the Future,0.6388888888888893,0.5789473684210527,0.11417322834645668,0.46488294314381273,PG,0.8194444444444444,"Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown.","Dragan Bjelogrlic, Zoran Lisinac",,,,,,
Leon,0.7222222222222214,0.5789473684210527,0.10236220472440946,0.431438127090301,18,0.5,"12-year-old Mathilda is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade.",Ertem Egilmez,,,,,,
The Pianist,0.7962962962962941,0.5789473684210527,0.1811023622047244,0.31605351170568563,15,0.7916666666666667,"During WWII, acclaimed Polish musician Wladyslaw faces various struggles as he loses contact with his family. As the situation worsens, he hides in the ruins of Warsaw in order to survive.",Mari Selvaraj,,,,,,
The Lion King,0.7222222222222214,0.5789473684210527,0.05905511811023623,0.3979933110367893,U,0.8333333333333333,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.",Fazil,,,,,,
Spider-Man: Across the Spider-Verse,0.9907407407407405,0.5789473684210527,0.1614173228346457,0.14247491638795987,PG,0.8055555555555556,"Traveling across the multiverse, Miles Morales meets a new team of Spider-People, made up of heroes from different dimensions. But when the heroes clash over how to deal with a new threat, Miles finds himself at a crossroads.",Ertem Egilmez,,,,,,
Once Upon a Time in the West,0.48148148148148096,0.5789473684210527,0.21259842519685038,0.11839464882943145,12,0.75,A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.,Ram,,,,,,
Grave of the Fireflies,0.6666666666666643,0.5789473684210527,0.05905511811023623,0.11003344481605351,12A,0.9166666666666667,A young boy and his little sister struggle to survive in Japan during World War II.,Directors,,,,,,
Casablanca,0.24074074074074048,0.5789473684210527,0.08661417322834647,0.20602006688963212,U,1.0,A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.,Frank Darabont,,,,,,
Psycho,0.40740740740740833,0.5789473684210527,0.10039370078740159,0.24581939799331104,15,0.9583333333333333,A secretary on the run for embezzlement takes refuge at a secluded California motel owned by a repressed man and his overbearing mother.,Yûichirô Hayashi,,,,,,
Untouchable,0.8796296296296298,0.5789473684210527,0.1062992125984252,0.3197324414715719,15,0.4027777777777778,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.",Francis Ford Coppola,,,,,,
Rear Window,0.3518518518518512,0.5789473684210527,0.1062992125984252,0.17759197324414716,PG,1.0,A bored photographer recovering from a broken leg passes the time by watching his neighbors and begins to suspect one of them of murder.,Ertem Egilmez,,,,,,
Cinema Paradiso,0.6666666666666643,0.5789473684210527,0.2283464566929134,0.0959866220735786,PG,0.7222222222222223,"Salvatore, a famous film director, returns to his hometown for the funeral of the local theater's film projectionist, Alfredo. He reminisces about his life as a young boy falling in love with cinema.","Ram Mohan, Yûgô Sakô, Koichi Saski",,,,,,
Dear Zachary: A Letter to a Son About His Father,0.8518518518518512,0.5789473684210527,0.06889763779527561,0.011036789297658865,Not Rated,0.75,A filmmaker decides to memorialize a murdered friend when his friend's ex-girlfriend announces she is expecting his son.,Sidney Lumet,,,,,,
Modern Times,0.18518518518518334,0.5789473684210527,0.057086614173228356,0.08695652173913043,U,0.9444444444444444,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,Christopher Nolan,,,,,,
City Lights,0.13888888888888928,0.5789473684210527,0.057086614173228356,0.06521739130434782,U,0.9861111111111112,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.",Steven Spielberg,,,,,,
20 Days in Mariupol,0.9907407407407405,0.5789473684210527,0.07283464566929135,0.005016722408026756,18,0.7638888888888888,"As the Russian invasion begins, a team of Ukrainian journalists trapped in the besieged city of Mariupol struggle to continue their work documenting the war's atrocities.",Peter Jackson,,,,,,
Senna,0.8703703703703702,0.5789473684210527,0.09448818897637795,0.023411371237458192,12A,0.7083333333333333,"A documentary on Brazilian Formula One racing driver Ayrton Senna, who won the F1 world championship three times before his death at age 34.",Anuj Bhardwaj,,,,,,
The Best of Youth,0.8055555555555536,0.5789473684210527,0.6220472440944882,0.005016722408026756,R,0.8472222222222221,An Italian epic that follows the lives of two brothers from the 1960s to the 2000s.,Peter Jackson,,,,,,
For Sama,0.9537037037037024,0.5789473684210527,0.0826771653543307,0.0010033444816053513,18,0.8472222222222221,FOR SAMA is both an intimate and epic journey into the female experience of war.,Christopher Nolan,,,,,,
Home,0.8611111111111107,0.5789473684210527,0.11811023622047245,0.004347826086956523,U,0.26388888888888895,"With aerial footage from fifty-four countries, 'Home' is a depiction of how Earth's problems are all interlinked.","Dusan Kovacevic, Bozidar 'Bota' Nikolic",,,,,,
Inglourious Basterds,0.8611111111111107,0.5263157894736836,0.18700787401574806,0.5652173913043479,18,0.5694444444444444,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.",Ertem Egilmez,,,,,,
Avengers: Endgame,0.9537037037037024,0.5263157894736836,0.2421259842519685,0.431438127090301,12A,0.6944444444444444,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.",Ertem Egilmez,,,,,,
Raiders of the Lost Ark,0.6018518518518512,0.5263157894736836,0.11220472440944881,0.3645484949832776,PG,0.8055555555555556,"In 1936, archaeologists and adventurers of the U.S. government hired Indiana Jones to find the Ark of the Covenant before the Nazis could obtain its extraordinary powers.",Christopher Nolan,,,,,,
Memento,0.7777777777777786,0.5263157894736836,0.10826771653543307,0.46488294314381273,15,0.7638888888888888,"Leonard Shelby, an insurance investigator, suffers from anterograde amnesia and uses notes and tattoos to hunt for the man he thinks killed his wife, which is the last thing he remembers.",Martin Scorsese,,,,,,
The Dark Knight Rises,0.8888888888888893,0.5263157894736836,0.20866141732283464,0.6321070234113713,12A,0.6944444444444444,"Bane, an imposing terrorist, attacks Gotham City and disrupts its eight-year-long period of peace. This forces Bruce Wayne to come out of hiding and don the cape and cowl of Batman again.","Lana Wachowski, Lilly Wachowski",,,,,,
