Title,Year,Rating,Length (mins),Rating Amount,Group,Metascore,Short Description,Directors,Star 1,Star 2,Star 3,Genre 1,Genre 2,Genre 3,KMeans Cluster,Agglomerative Cluster
The Shawshank Redemption,0.7222222222222214,0.9999999999999996,0.1653543307086614,1.0,15,0.75,"A banker convicted of uxoricide forms a friendship over a quarter century with a hardened convict, while maintaining his innocence and trying to remain hopeful through simple compassion.",Frank Darabont,Tim Robbins, Morgan Freeman, Bob Gunton,Drama,,,0,2
The Godfather,0.518518518518519,0.9473684210526304,0.2303149606299212,0.6989966555183946,15,1.0,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.,Francis Ford Coppola,Marlon Brando, Al Pacino, James Caan,Crime, Drama,,0,2
12 Angry Men,0.3796296296296297,0.8421052631578942,0.0748031496062992,0.3013377926421405,U,0.9583333333333331,The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.,Sidney Lumet,Henry Fonda, Lee J. Cobb, Martin Balsam,Crime, Drama,,0,2
The Dark Knight,0.8518518518518512,0.8421052631578942,0.1850393700787402,1.0,12A,0.7777777777777777,"When a menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman, James Gordon and Harvey Dent must work together to put an end to the madness.",Christopher Nolan,Christian Bale, Heath Ledger, Aaron Eckhart,Action, Crime, Drama,0,2
Schindler's List,0.7129629629629619,0.8421052631578942,0.2696850393700787,0.4983277591973244,15,0.9305555555555556,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",Steven Spielberg,Liam Neeson, Ralph Fiennes, Ben Kingsley,Biography, Drama, History,0,2
The Lord of the Rings: The Return of the King,0.8055555555555536,0.8421052631578942,0.281496062992126,0.6989966555183946,12A,0.9166666666666669,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,Peter Jackson,Elijah Wood, Viggo Mortensen, Ian McKellen,Adventure, Drama, Fantasy,0,2
The Godfather Part II,0.5370370370370345,0.8421052631578942,0.2834645669291339,0.4648829431438127,X,0.8611111111111112,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",Francis Ford Coppola,Al Pacino, Robert De Niro, Robert Duvall,Crime, Drama,,0,2
Pulp Fiction,0.7222222222222214,0.7894736842105261,0.1889763779527559,0.7658862876254181,18,0.9305555555555556,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",Quentin Tarantino,John Travolta, Uma Thurman, Samuel L. Jackson,Crime, Drama,,0,2
The Lord of the Rings: The Fellowship of the Ring,0.7870370370370345,0.7894736842105261,0.2362204724409448,0.6989966555183946,PG,0.8888888888888888,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,Peter Jackson,Elijah Wood, Ian McKellen, Orlando Bloom,Adventure, Drama, Fantasy,0,2
I'm Still Here,1.0,0.736842105263158,0.155511811023622,0.020066889632107,15,0.8055555555555556,"A mother is forced to reinvent herself when her family's life is shattered by an act of arbitrary violence during the tightening grip of a military dictatorship in Brazil, 1971.",Directors,Stars,,,Genres,,,0,2
Inception,0.8703703703703702,0.736842105263158,0.1771653543307086,0.899665551839465,12A,0.6388888888888888,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.",Frank Darabont,Tim Robbins, Morgan Freeman, Bob Gunton,Drama,,,0,2
Fight Club,0.768518518518519,0.736842105263158,0.1594488188976378,0.7993311036789298,15,0.5416666666666666,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.,Yûichirô Hayashi,Natsuki Hanae, Yoshimasa Hosoya, Marina Inoue,Animation, Action, Drama,0,2
Forrest Gump,0.7222222222222214,0.736842105263158,0.1653543307086614,0.7993311036789298,12,0.75,"The history of the United States from the 1950s to the '70s unfolds from the perspective of an Alabama man with an IQ of 75, who yearns to be reunited with his childhood sweetheart.",Francis Ford Coppola,Marlon Brando, Al Pacino, James Caan,Crime, Drama,,0,2
"The Good, the Bad and the Ugly",0.4629629629629619,0.736842105263158,0.1771653543307086,0.2785953177257525,18,0.8611111111111112,A bounty-hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,Ertem Egilmez,Münir Özkul, Tarik Akan, Halit Akçatepe,Comedy,,,0,2
