Directors,Stars,Genres
Frank Darabont,"Tim Robbins, Morgan Freeman, Bob Gunton",Drama
Yûichirô Hayashi,"Natsuki Hanae, Yoshimasa Hosoya, Marina Inoue","Animation, Action, Drama"
Francis Ford Coppola,"Marlon Brando, Al Pacino, James Caan","Crime, Drama"
Ertem Egilmez,"Münir Özkul, Tarik Akan, Halit Akçatepe",Comedy
"Ram Mohan, Yûgô Sakô, Koichi Saski","Arun Govil, Nikhil Kapoor, Edie Mirman","Animation, Action, Adventure"
Sidney Lumet,"Henry Fonda, Lee J. Cobb, Martin Balsam","Crime, Drama"
Christopher Nolan,"Christian Bale, Heath Ledger, Aaron Eckhart","Action, Crime, Drama"
Steven Spielberg,"Liam Neeson, Ralph Fiennes, Ben Kingsley","Biography, Drama, History"
Peter Jackson,"Elijah Wood, Viggo Mortensen, Ian McKellen","Adventure, Drama, Fantasy"
Francis Ford Coppola,"Al Pacino, Robert De Niro, Robert Duvall","Crime, Drama"
Anuj Bhardwaj,Suzanne Bernert,"Documentary, History"
Quentin Tarantino,"John Travolta, Uma Thurman, Samuel L. Jackson","Crime, Drama"
Peter Jackson,"Elijah Wood, Ian McKellen, Orlando Bloom","Adventure, Drama, Fantasy"
Ezra Edelman,"Willie Brown, Harry Edwards, John McKay","Documentary, Biography, Crime"
Moustapha Akkad,"Abdallah Gheith, Mona Wassef, Hamdy Gheith","Action, Adventure, Biography"
Amitabh Reza Chowdhury,"Chanchal Chowdhury, Masuma Rahman Nabila, Partha Barua","Crime, Mystery, Thriller"
Kartal Tibet,"Kemal Sunal, Müjde Ar, Adile Nasit","Comedy, History"
Walter Salles,"Fernanda Torres, Fernanda Montenegro, Selton Mello","Biography, Drama, History"
Christopher Nolan,"Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page","Action, Adventure, Sci-Fi"
David Fincher,"Brad Pitt, Edward Norton, Meat Loaf",Drama
Robert Zemeckis,"Tom Hanks, Robin Wright, Gary Sinise","Drama, Romance"
Sergio Leone,"Clint Eastwood, Eli Wallach, Lee Van Cleef","Adventure, Drama, Western"
Peter Jackson,"Elijah Wood, Ian McKellen, Viggo Mortensen","Adventure, Drama, Fantasy"
Vidhu Vinod Chopra,"Vikrant Massey, Medha Shankr, Anant Joshi","Biography, Drama"
"Nick Morris, Laurence Connor","Ramin Karimloo, Sierra Boggess, Hadley Fraser","Drama, Musical, Romance"
"Dusan Kovacevic, Bozidar 'Bota' Nikolic","Danilo 'Bata' Stojkovic, Bora Todorovic, Mira Banjac","Comedy, Drama"
Rojin Thomas,"Indrans, Sreenath Bhasi, Manju Pillai","Drama, Family"
Slobodan Sijan,"Bogdan Diklic, Danilo 'Bata' Stojkovic, Pavle Vuisic","Comedy, Drama"
Ertem Egilmez,"Kemal Sunal, Sener Sen, Halit Akçatepe","Comedy, History"
Ertem Egilmez,"Münir Özkul, Tarik Akan, Kemal Sunal",Comedy
Christopher Nolan,"Matthew McConaughey, Anne Hathaway, Jessica Chastain","Adventure, Drama, Sci-Fi"
Martin Scorsese,"Robert De Niro, Ray Liotta, Joe Pesci","Biography, Crime, Drama"
"Lana Wachowski, Lilly Wachowski","Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss","Action, Sci-Fi"
Milos Forman,"Jack Nicholson, Louise Fletcher, Michael Berryman",Drama
Irvin Kershner,"Mark Hamill, Harrison Ford, Carrie Fisher","Action, Adventure, Fantasy"
T.J. Gnanavel,"Suriya, Lijo Mol Jose, Manikandan K.","Crime, Drama"
Quentin Tarantino,"Uma Thurman, Lucy Liu, Vivica A. Fox","Action, Crime, Thriller"
Claude Lanzmann,"Simon Srebnik, Michael Podchlebnik, Motke Zaïdl","Documentary, History, War"
Jonathan Demme,"David Byrne, Bernie Worrell, Alex Weir","Documentary, Music"
Madhavan,"Madhavan, Simran, Rajit Kapoor","Biography, Drama"
Kiranraj K,"Rakshit Shetty, Charlie, Sangeetha Sringeri","Adventure, Comedy, Drama"
Sudha Kongara,"Suriya, Aparna Balamurali, Paresh Rawal",Drama
Slobodan Sijan,"Pavle Vuisic, Dragan Nikolic, Danilo 'Bata' Stojkovic","Adventure, Comedy, Drama"
"Dragan Bjelogrlic, Zoran Lisinac","Milan Maric, Tamara Dragicevic, Petar Bencina","Biography, Drama, Music"
Ertem Egilmez,"Kemal Sunal, Halit Akçatepe, Sener Sen","Comedy, History"
Haruo Sotozaki,,"Animation, Action, Fantasy"
Mari Selvaraj,"Kathir, Anandhi, Yogi Babu",Drama
Fazil,"Mohanlal, Shobana, Suresh Gopi","Comedy, Horror, Mystery"
Ertem Egilmez,"Münir Özkul, Kemal Sunal, Halit Akçatepe",Comedy
